first_cate_name,K歌,主题乐园,丽人,交通设施,亲子,人文古迹,人文街区,休闲娱乐,休闲食品,公园,公园景点售票处,其他,其他旅游,养车/用车,农林牧渔基地,动物园类,医疗健康,医药健康,商务住宅,地名,地标建筑,境外医疗医美,大型百货商场,宠物,宠物生活,室内设施,家居,展览馆,度假景区,影视基地,政府机构及社会团体,教育培训,数码家电,数码家电/办公,旅游,旅游项目/观光项目,日用百货,景区设施,景点,服饰鞋帽,植物园,母婴玩具,水上项目/水上体验,水果,温泉景区,游玩,滑雪景区,特色体验,现代建筑,甜点,生活服务,生鲜果蔬,电影演出赛事,纪念地,结婚,美妆个护,美妆日化,美食,自然景观,购物,超市便利,运动健身,通行设施,酒店,酒水茶饮,非标住宿,食品保健,食材,餐饮,饮品,鲜花绿植
K歌,0.0,1.0,167.0,0.0,25.0,2.0,1.0,1559.0,8.0,2.0,0.0,0.0,3.0,6.0,0.0,4.0,12.0,28.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,40.0,4.0,0.0,27.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,1.0,22.0,7.0,0.0,8.0,0.0,0.0,56.0,25.0,0.0,28.0,0.0,18.0,0.0,2.0,453.0,8.0,240.0,124.0,160.0,0.0,321.0,25.0,6.0,0.0,6.0,1668.0,187.0,15.0
主题乐园,12.0,0.0,13.0,1.0,171.0,43.0,7.0,212.0,1.0,24.0,0.0,0.0,50.0,7.0,0.0,52.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,47.0,17.0,6.0,0.0,19.0,0.0,0.0,1124.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,12.0,6.0,21.0,2.0,37.0,0.0,0.0,8.0,12.0,0.0,5.0,0.0,13.0,0.0,0.0,99.0,67.0,17.0,17.0,33.0,0.0,439.0,0.0,1.0,0.0,1.0,310.0,21.0,1.0
丽人,195.0,9.0,0.0,1.0,297.0,4.0,2.0,5239.0,18.0,1.0,0.0,3.0,3.0,93.0,0.0,6.0,378.0,253.0,0.0,1.0,1.0,1.0,0.0,161.0,0.0,0.0,42.0,9.0,2.0,0.0,0.0,493.0,17.0,0.0,59.0,0.0,46.0,0.0,0.0,22.0,0.0,9.0,3.0,91.0,6.0,0.0,5.0,0.0,0.0,223.0,361.0,0.0,23.0,0.0,666.0,0.0,222.0,1784.0,12.0,794.0,512.0,913.0,0.0,539.0,21.0,8.0,0.0,42.0,5335.0,582.0,44.0
交通设施,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,3.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0
亲子,24.0,35.0,315.0,0.0,0.0,7.0,1.0,1080.0,4.0,10.0,0.0,5.0,6.0,8.0,0.0,25.0,89.0,44.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,3.0,20.0,3.0,2.0,0.0,152.0,2.0,0.0,329.0,0.0,24.0,0.0,0.0,4.0,3.0,131.0,2.0,11.0,9.0,11.0,24.0,0.0,0.0,40.0,131.0,0.0,20.0,0.0,114.0,0.0,7.0,257.0,18.0,221.0,97.0,157.0,0.0,78.0,0.0,2.0,0.0,6.0,1356.0,91.0,9.0
人文古迹,6.0,40.0,11.0,0.0,21.0,0.0,8.0,72.0,0.0,32.0,0.0,0.0,35.0,1.0,0.0,21.0,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,7.0,3.0,0.0,2.0,0.0,0.0,475.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,8.0,2.0,13.0,6.0,14.0,0.0,0.0,8.0,4.0,0.0,1.0,1.0,21.0,0.0,1.0,45.0,110.0,8.0,10.0,10.0,0.0,323.0,1.0,4.0,0.0,1.0,299.0,15.0,2.0
人文街区,0.0,4.0,0.0,0.0,1.0,4.0,0.0,9.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0
休闲娱乐,1379.0,68.0,5335.0,10.0,1116.0,35.0,7.0,0.0,33.0,33.0,0.0,13.0,38.0,115.0,2.0,43.0,712.0,403.0,2.0,7.0,8.0,0.0,1.0,417.0,0.0,0.0,52.0,66.0,15.0,5.0,0.0,381.0,52.0,0.0,1079.0,0.0,137.0,0.0,0.0,26.0,4.0,18.0,16.0,208.0,100.0,28.0,68.0,0.0,0.0,370.0,533.0,0.0,321.0,0.0,273.0,0.0,68.0,4626.0,105.0,1148.0,974.0,2026.0,0.0,4460.0,128.0,176.0,0.0,72.0,13660.0,1200.0,110.0
休闲食品,10.0,0.0,17.0,0.0,4.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,51.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,4.0,0.0,102.0,0.0,0.0,10.0,0.0,11.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,1026.0,2.0,0.0,1.0,0.0,4.0,0.0,46.0,3619.0,0.0,45.0,4604.0,5.0,0.0,40.0,106.0,0.0,0.0,262.0,1178.0,917.0,18.0
公园,4.0,22.0,3.0,0.0,29.0,28.0,3.0,62.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,13.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,3.0,0.0,0.0,1.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,9.0,9.0,5.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,51.0,9.0,5.0,11.0,0.0,135.0,0.0,0.0,0.0,0.0,149.0,4.0,1.0
