first_cate_name,K歌,主题乐园,丽人,交通设施,亲子,人文古迹,人文街区,休闲娱乐,休闲食品,公园,公园景点售票处,其他,其他旅游,养车/用车,农林牧渔基地,动物园类,医疗健康,医药健康,商务住宅,地名,地标建筑,境外医疗医美,大型百货商场,宠物,宠物生活,室内设施,家居,展览馆,度假景区,影视基地,政府机构及社会团体,教育培训,数码家电,数码家电/办公,旅游,旅游项目/观光项目,日用百货,景区设施,景点,服饰鞋帽,植物园,母婴玩具,水上项目/水上体验,水果,温泉景区,游玩,滑雪景区,特色体验,现代建筑,甜点,生活服务,生鲜果蔬,电影演出赛事,纪念地,结婚,美妆个护,美妆日化,美食,自然景观,购物,超市便利,运动健身,通行设施,酒店,酒水茶饮,非标住宿,食品保健,食材,餐饮,饮品,鲜花绿植
K歌,0.0,1.2290333333333334,0.7059500000000001,0.0,0.3869166666666667,1.7918291666666666,0.9847666666666667,0.4257166666666667,0.8958208333333333,1.5082041666666668,0.0,0.0,1.0268583333333334,3.5398791666666667,0.0,0.40869999999999995,1.5702291666666666,0.4961166666666667,0.0,3.9968333333333335,0.0,0.0,0.0,0.8791000000000001,0.0,0.0,8.462479166666666,2.4885249999999997,0.0,0.0,0.0,0.4344375,0.31346666666666667,0.0,1.1363916666666665,0.0,1.0774833333333333,0.0,0.0,3.5837833333333333,0.0,0.0,2.8459833333333333,0.5337541666666666,0.71425,0.0,0.6910333333333333,0.0,0.0,0.9250125,0.4525666666666667,0.0,0.9619708333333332,0.0,0.5687208333333333,0.0,9.3031375,0.7204833333333334,0.5812041666666666,0.4750166666666667,0.898825,0.5252375,0.0,0.8445333333333332,2.7533666666666665,5.7284541666666655,0.0,0.38182499999999997,0.6586666666666667,0.8511,0.6396333333333333
主题乐园,0.44303750000000003,0.0,0.21896666666666667,1.7610166666666667,0.40694166666666665,0.42686666666666667,0.3998583333333333,0.6002958333333333,3.89045,0.22840416666666669,0.0,0.0,0.45727083333333335,0.31706666666666666,0.0,0.41859166666666664,0.660225,1.2073916666666666,0.0,6.372816666666667,0.22492499999999999,0.0,0.0,2.7822083333333336,0.0,0.0,0.5203,0.5392666666666667,0.21056666666666668,0.5291958333333333,0.0,0.2462666666666667,0.0,0.0,0.30260833333333337,0.0,2.3833916666666664,0.0,0.0,0.0,0.40175416666666663,0.0,0.5896625,0.6378624999999999,0.35191666666666666,1.6591666666666667,0.4162,0.0,0.0,0.9396666666666667,0.5121416666666667,0.0,0.8786,0.0,0.38155,0.0,0.0,0.7538833333333332,0.3351,0.5637666666666666,0.41158333333333336,0.26831666666666665,0.0,0.37375,0.0,1.7641333333333333,0.0,0.4527333333333334,0.3856291666666667,0.6249833333333333,2.8489999999999998
丽人,0.5826666666666667,1.5799833333333335,0.0,0.3076666666666667,0.5019833333333333,0.6231166666666668,4.311716666666666,0.482475,0.7932666666666667,0.7794833333333333,0.0,0.22745833333333335,0.32158333333333333,0.9579833333333333,0.0,1.1555083333333334,0.7005916666666667,0.3575666666666667,0.0,0.2794166666666667,11.2295,4.870133333333333,0.0,0.7172666666666667,0.0,0.0,0.5984583333333333,0.049933333333333337,0.3465375,0.0,0.0,0.5901333333333334,0.9911,0.0,0.4244833333333333,0.0,0.4986625,0.0,0.0,0.8773875,0.0,1.3131166666666667,2.843325,0.6671833333333332,0.8503291666666666,0.0,0.74,0.0,0.0,0.6949083333333332,0.7888000000000001,0.0,0.20750833333333335,0.0,0.45695416666666666,0.0,0.37868333333333337,0.44490416666666666,0.4582,0.5719875,0.4499958333333334,0.48478333333333334,0.0,0.5500916666666666,0.31356666666666666,0.37193333333333334,0.0,0.385225,0.6112916666666667,0.6631291666666665,0.3415
交通设施,0.0,0.0,1.1679,0.0,0.0,0.0,0.0,0.22136666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.532141666666667,0.0,0.0,0.26659999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.881166666666665,5.019291666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6857333333333333,0.0,0.3210166666666667,0.8715833333333334,0.20422083333333332,0.0,0.5217416666666667,0.0,0.0,0.0,0.0,0.1812,0.0,3.7665833333333336
亲子,0.2811375,0.8694666666666666,0.444925,0.0,0.0,1.1459166666666667,1.7225333333333335,0.4025291666666666,0.5309666666666667,0.5936874999999999,0.0,1.45235,0.8760083333333334,0.29828333333333334,0.0,0.8762166666666666,0.4643333333333333,0.8766,0.0,0.0,0.0,0.0,0.0,0.22556666666666667,0.0,0.0,4.699416666666667,0.4213291666666667,4.297633333333334,1.609775,0.0,0.4810291666666667,1.2440208333333334,0.0,0.38828333333333337,0.0,0.2843833333333333,0.0,0.0,1.8498958333333333,1.2480833333333334,0.296675,4.487466666666666,0.4401,1.08935,0.217775,0.6211125000000001,0.0,0.0,0.7448625,0.43751666666666666,0.0,0.48063333333333336,0.0,0.48032083333333336,0.0,0.7437916666666666,0.5293166666666667,0.381225,0.26791666666666664,0.58355,0.4296833333333333,0.0,0.38154166666666667,0.0,2.9310916666666667,0.0,0.23100416666666668,0.5216875,0.6270500000000001,0.6206499999999999
人文古迹,0.5359791666666667,0.3864125,0.3198833333333333,0.0,0.4265166666666667,0.0,0.5955083333333333,0.6214166666666666,0.0,0.26869166666666666,0.0,0.0,0.3688083333333333,0.5741333333333334,0.0,0.38786666666666664,2.64175,0.6067166666666667,0.0,0.0,0.5468,0.0,0.0,0.0,0.0,0.0,0.0,0.48438749999999997,0.596,0.7320916666666667,0.0,3.5781625000000004,0.0,0.0,0.26636666666666664,0.0,4.262941666666666,0.0,0.0,0.0,0.9276458333333333,0.0,0.9477666666666669,0.8358708333333333,0.4454166666666667,0.2660416666666666,0.3687625,0.0,0.0,1.931120833333333,0.5478958333333332,0.0,4.400083333333333,1.0595166666666667,0.3648166666666667,0.0,4.427933333333333,0.2828833333333333,0.3181625,0.5148916666666666,0.4886125,0.3973416666666667,0.0,0.23646666666666666,0.20981666666666668,0.56385,0.0,0.6189166666666667,0.31030833333333335,0.49615833333333337,11.751283333333333
人文街区,0.0,0.2999375,0.0,0.0,10.294116666666667,0.14794166666666667,0.0,0.8582166666666667,0.0,0.6196499999999999,0.0,0.0,0.5898666666666668,0.0,0.0,0.23774166666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22108333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.4400125,0.0,0.0,0.0,0.0,0.0,2.0452041666666663,0.0,0.9283333333333333,0.0,0.19156666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37645,0.0,1.4046583333333333,0.0,0.0,0.2454875,0.341475,0.0,0.0,0.0,0.0,0.25547916666666665,0.0,0.0,0.0,0.0,0.3297833333333333,7.97095,0.0
休闲娱乐,0.5662833333333332,0.7975208333333333,0.60205,0.4825041666666667,0.5274708333333333,0.6828000000000001,0.6345666666666667,0.0,0.7919833333333333,0.4003333333333333,0.0,0.6185333333333334,1.3069291666666667,0.5502750000000001,1.4431208333333334,0.363475,0.5503875,0.43138333333333334,8.828037499999999,1.9434999999999998,0.3867375,0.0,3.489633333333333,0.4983833333333333,0.0,0.0,1.4028291666666668,0.6735916666666667,0.8989416666666667,0.45898333333333335,0.0,0.5277833333333334,0.6971416666666667,0.0,0.48335833333333333,0.0,0.80565,0.0,0.0,1.4057041666666665,0.6678791666666667,0.4335875,1.8526250000000002,0.6250791666666666,0.8564125,0.4626,0.8466791666666666,0.0,0.0,0.5158083333333334,0.5358333333333333,0.0,0.3705833333333333,0.0,0.76875,0.0,0.8072083333333333,0.5356125,0.8293666666666667,0.437975,0.533875,0.5296916666666667,0.0,0.6872125,0.40987083333333335,0.6594958333333333,0.0,0.5391291666666667,0.5429083333333333,0.6685833333333334,0.5182708333333333
休闲食品,0.4456958333333334,0.0,0.9212,0.0,2.9995208333333334,0.0,0.0,0.7753208333333333,0.0,0.0,0.0,0.0,0.0,1.0036416666666668,0.35205000000000003,0.0,4.1453999999999995,0.742475,0.0,0.0,0.0,0.0,3.05525,0.7636333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.866470833333334,0.38243333333333335,0.0,0.28456666666666663,0.0,0.42610833333333337,0.0,0.0,0.21034166666666668,0.0,0.5265500000000001,0.0,0.35738333333333333,0.0,0.0,0.0,0.0,0.0,0.3330625,0.4881125,0.0,0.13251666666666667,0.0,0.5442166666666666,0.0,0.4403166666666667,0.3443833333333334,0.0,0.5787,0.3835,0.23126666666666665,0.0,0.674525,0.3796708333333333,0.0,0.0,0.34344583333333334,0.31171666666666664,0.33953333333333335,0.34637083333333335
公园,1.184825,0.3539375,0.33098333333333335,0.0,0.22446666666666668,0.35738749999999997,1.0271333333333335,0.31669166666666665,0.0,0.0,0.0,0.0,0.1875125,21.03825,0.0,0.25833333333333336,0.385275,0.0,0.0,0.5265791666666666,0.23114999999999997,0.0,0.0,0.0,0.0,0.0,2.336358333333333,0.22039166666666668,0.457525,0.0,0.0,0.22725,0.0,0.0,0.302175,0.0,0.0,0.0,0.0,2.578016666666667,0.5630666666666666,0.0,0.7009791666666667,0.0,0.4194333333333333,0.2512166666666667,0.28053333333333336,0.0,0.0,1.16625,0.368,0.0,1.3861666666666665,0.0,0.0,0.0,0.0,0.37050833333333333,0.3447,0.5055833333333334,7.399983333333334,0.24056666666666668,0.0,0.188975,0.0,0.0,0.0,0.0,0.30065000000000003,0.4936625,6.342333333333333
公园景点售票处,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5007833333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34926666666666667,0.0,0.0
其他,0.6714083333333333,0.0,0.20310833333333334,0.0,0.18891666666666668,0.0,0.0,0.31776666666666664,0.08410000000000001,0.0,0.0,0.0,0.0,0.20716666666666667,0.0,0.0,0.0,2.3166916666666664,0.0,0.0,0.0,0.0,0.0,0.1368083333333333,0.0,0.0,2.9751166666666666,0.0,0.0,0.0,0.0,0.0,0.124775,0.0,0.20860416666666667,0.0,0.13536666666666666,0.0,0.0,0.5526166666666666,0.0,0.0,0.0,0.24216666666666667,0.0,0.0,0.0,0.0,0.0,0.19898333333333335,0.31094999999999995,0.0,0.0,0.0,0.5198833333333334,0.0,0.19493333333333332,0.3358,0.0,0.13963333333333333,0.25277916666666667,0.32260833333333333,0.0,0.132625,0.39585,0.0,0.0,0.4330833333333333,0.24716666666666667,0.0,0.5203416666666666
其他旅游,0.3683458333333333,0.3218833333333333,0.3076833333333333,17.23848333333333,0.38785000000000003,0.43038333333333334,0.4967916666666667,0.4124416666666667,0.0,0.33990833333333337,0.0,2.1625666666666663,0.0,3.46705,0.0,0.31154583333333336,0.0,6.497054166666667,0.0,0.0,0.20359166666666667,0.0,0.0,0.0,0.0,0.0,0.19426666666666667,0.41659999999999997,0.4158291666666667,0.33043333333333336,1.1046833333333335,0.4876666666666667,12.250466666666666,0.0,0.32619166666666666,0.0,0.7017833333333333,0.0,0.0,0.0,0.6759625,0.0,0.16484166666666666,0.30538333333333334,0.28709999999999997,0.8693125,0.30306666666666665,0.0,0.0,3.8331833333333334,0.40548333333333336,0.0,0.2670166666666667,0.0,1.26075,0.0,0.0,0.9417291666666667,0.28455,1.5092708333333333,0.8814,0.5466208333333333,0.0,0.265525,3.4870333333333337,5.156991666666666,0.0,0.0,0.23552083333333332,0.39440833333333336,4.332870833333333
养车/用车,0.5363249999999999,0.2863,0.8790833333333333,0.0,0.7147083333333334,4.230483333333334,0.0,0.5206916666666667,3.339716666666667,0.8349833333333333,0.0,0.09535,0.012841666666666666,0.0,0.0,0.442075,0.3178625,0.7753041666666667,0.0,0.0,0.0,0.0,0.0,0.7833166666666667,0.0,0.0,0.38760833333333333,0.0,0.0,0.0,0.3542125,0.5791166666666666,0.43544166666666667,0.0,0.28615,0.0,1.4608,0.0,0.0,4.1219166666666665,0.0,2.4954833333333335,32.88261666666667,0.9436125000000001,0.27889583333333334,0.0,6.5729500000000005,0.0,0.0,0.6685416666666666,0.4105583333333333,0.0,0.3154666666666667,0.0,0.47868333333333335,0.0,3.1318583333333336,0.4921916666666667,0.14347083333333335,0.37699166666666667,0.5378416666666667,0.6784250000000001,0.0,0.6268499999999999,1.31015,0.23307499999999998,0.0,2.0354666666666668,0.5121666666666667,0.9131833333333333,1.0797833333333333
农林牧渔基地,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06906666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8411666666666666,0.0,0.0,0.0,0.4357166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,7.767766666666666,0.0,0.0,0.33295,0.0,0.0
动物园类,0.8737833333333334,0.484475,0.8387541666666666,0.0,0.4286916666666667,0.5145375,0.23466666666666666,0.37129999999999996,0.0,0.7884166666666667,0.0,0.0,0.42695,0.31854583333333336,0.0,0.0,13.726366666666667,0.375,0.0,0.0,0.42777916666666665,0.0,0.0,0.6596166666666666,0.0,0.0,0.8243166666666667,0.4186,0.5365666666666666,0.5077541666666666,0.0,0.5080749999999999,9.9883,0.0,0.2840625,0.0,1.8993208333333333,0.0,0.0,0.0,0.6997249999999999,0.9082333333333333,0.6639666666666667,1.3595333333333335,0.2638,0.5702,0.17486666666666667,0.0,0.0,0.9025,1.0888916666666666,0.0,0.47300833333333336,0.0,0.7318958333333333,0.0,1.2682333333333333,0.40741666666666665,0.38602499999999995,1.0753333333333333,0.5574666666666667,0.38764583333333336,0.0,0.36120833333333335,0.0,2.4947,0.0,3.3956999999999997,0.3314333333333333,0.45765,1.1086833333333332
医疗健康,0.6383125000000001,0.0,0.6511375,0.0,0.5896916666666666,0.0,0.0,0.42284583333333337,1.8072333333333332,0.0,0.0,0.0,0.0,1.1239916666666667,0.0,0.0,0.0,0.2607833333333333,0.0,0.0,0.0,2.880133333333333,0.0,0.4276041666666667,0.0,0.0,1.4601666666666666,1.4036666666666666,0.0,0.0,0.0,0.7864208333333333,4.3642916666666665,0.0,0.4026083333333333,0.0,1.0008541666666666,0.0,0.0,1.3075916666666667,0.0,0.6988,0.0,1.3581500000000002,0.6636083333333334,1.0776333333333334,19.65,0.0,0.0,0.4177083333333333,0.3538833333333333,0.0,3.337308333333333,0.0,0.9682291666666666,0.0,0.6919416666666668,0.481625,7.548329166666667,0.40086666666666665,0.33386666666666664,0.5227958333333333,0.0,0.6130833333333334,0.6540875,0.6685666666666668,0.0,0.5804374999999999,0.6966333333333333,0.3551625,1.8829125
医药健康,0.8970583333333334,1.1950833333333333,0.3119458333333333,0.0,0.57805,0.5548166666666667,0.0,0.36644583333333336,0.5567916666666667,0.0,0.0,0.0,0.0,0.3456208333333333,0.0,0.0,0.6064750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.6135833333333333,0.0,0.0,0.3649083333333334,8.502533333333334,0.0,0.0,0.0,0.5666416666666667,0.6254333333333334,0.0,0.35214999999999996,0.0,0.41864999999999997,0.0,0.0,0.5806250000000001,0.0,0.4610333333333333,0.0,0.6599208333333334,5.874341666666666,1.4219333333333333,0.0,0.0,0.0,0.5239833333333334,1.0230666666666666,0.0,0.26106666666666667,0.0,0.24832916666666666,0.0,0.45184583333333334,0.5645833333333333,1.1777833333333332,0.37322916666666667,0.4558833333333333,0.601075,0.0,0.8633166666666666,0.4658583333333334,4.4244,0.0,0.5631541666666666,0.5621166666666666,0.5299875000000001,0.45784166666666665
商务住宅,0.0,0.0,0.0,0.0,12.211883333333333,0.0,0.0,2.2330208333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34535,0.0,0.2820208333333333,0.0,0.45500416666666665,0.0,0.0,0.47815833333333335,0.4656625,3.4636666666666667
地名,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3286458333333333,0.0,0.0,0.0,0.0,0.17325,0.0,0.0,0.5354,0.0,0.0,0.8582166666666667,0.0,0.0,0.0,0.0,4.1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.202225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7868999999999999,0.42635,0.3593708333333333,0.6752291666666667,0.0,0.0,1.3899208333333333,0.0,0.0,0.0,0.0,0.30209166666666665,2.205433333333333,0.0
地标建筑,0.89475,0.34924999999999995,0.2823,0.0,0.367025,0.5597375000000001,0.0,0.932725,0.5814333333333334,0.0,0.0,0.8682666666666666,0.315975,1.0048791666666668,0.0,0.7555583333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364958333333334,10.56385,0.0,0.0,0.0,0.0,0.0,0.16855,0.0,0.0,0.0,0.0,3.5730333333333335,0.0,0.0,0.9423333333333334,0.0,2.2566833333333336,0.0,0.0,0.0,0.0,2.5158833333333335,0.5424833333333334,0.0,0.0,0.0,0.1079875,0.0,0.0,0.6419166666666667,0.3045,0.179525,0.2814833333333333,0.3093166666666667,0.0,0.18631666666666666,0.0,0.46038333333333337,0.0,0.0,0.36033333333333334,0.0,0.0
境外医疗医美,0.0,0.0,0.9967458333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4707333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
