first_cate_name_src,first_cate_name_dst,pair_count,order_count,median_lag_ms,ccr,lift_smoothed,median_lag_min
展览馆,人文街区,32,0,49735.5,0.0,60.15056903756214,0.828925
主题乐园,影视基地,26,0,50933.0,0.0,36.49387465141061,0.8488833333333333
旅游,温泉景区,1603,0,891.0,0.0,33.77589330390077,0.01485
其他旅游,植物园,28,0,52693.5,0.0,33.070574457593686,0.878225
其他旅游,地标建筑,26,0,25025.0,0.0,31.91505547379645,0.4170833333333333
旅游,主题乐园,1735,0,1008.0,0.0,31.669831241705364,0.0168
动物园类,植物园,32,0,60860.0,0.0,31.158000971393175,1.0143333333333333
展览馆,人文古迹,148,0,35396.0,0.0,30.132378682493894,0.5899333333333333
旅游,滑雪景区,911,0,834.0,0.0,30.108414024289942,0.0139
主题乐园,动物园类,244,0,37689.0,0.0,30.082755771895556,0.62815
温泉景区,旅游,777,0,17881.0,0.0,30.03375646128367,0.29801666666666665
自然景观,植物园,49,0,64980.0,0.0,29.75207390648567,1.083
旅游,地标建筑,193,0,888.0,0.0,29.73583183319989,0.0148
旅游,度假景区,319,0,949.0,0.0,29.439057283549488,0.015816666666666666
地标建筑,其他旅游,26,0,42514.5,0.0,28.899785210799305,0.708575
旅游,动物园类,857,0,940.0,0.0,28.427386986909017,0.015666666666666666
植物园,公园,20,0,60649.5,0.0,27.95369448432362,1.010825
动物园类,主题乐园,238,0,39454.5,0.0,27.839364180773885,0.657575
自然景观,人文古迹,253,0,36144.0,0.0,27.608809753409563,0.6024
植物园,展览馆,29,0,29706.0,0.0,27.511206546856695,0.4951
人文古迹,展览馆,142,0,39371.5,0.0,27.454626595784017,0.6561916666666666
公园,自然景观,133,0,38271.0,0.0,27.16121673980585,0.63785
教育培训,运动健身,1020,0,20727.5,0.0,27.15790647590047,0.3454583333333333
地标建筑,展览馆,27,0,48966.0,0.0,26.556479744317375,0.8161
滑雪景区,旅游,466,0,16900.5,0.0,26.431829050469016,0.281675
展览馆,地标建筑,22,0,39386.5,0.0,26.393461708468198,0.6564416666666667
动物园类,展览馆,128,0,70611.5,0.0,26.153772197472993,1.1768583333333333
非标住宿,酒店,1213,0,36904.0,0.0,26.056079405935588,0.6150666666666667
人文古迹,自然景观,228,0,43131.5,0.0,26.000125485914047,0.7188583333333334
人文古迹,地标建筑,27,0,43108.0,0.0,25.94995768006126,0.7184666666666667
植物园,其他旅游,24,0,82643.0,0.0,25.872998778370732,1.3773833333333334
人文古迹,公园,91,0,62721.0,0.0,25.638869276304284,1.04535
运动健身,教育培训,1011,0,20367.0,0.0,25.57468768267339,0.33945
其他旅游,度假景区,35,0,48867.0,0.0,25.540529604819493,0.81445
生活服务,养车/用车,297,0,20311.0,0.0,25.274370385514388,0.3385166666666667
主题乐园,旅游,842,0,18513.5,0.0,25.159122501432616,0.3085583333333333
水上项目/水上体验,其他旅游,37,0,47405.0,0.0,25.056416369669414,0.7900833333333334
旅游,其他旅游,697,0,878.0,0.0,25.012266225569537,0.014633333333333333
自然景观,人文街区,24,0,62620.5,0.0,24.492472450721714,1.043675
其他旅游,人文古迹,115,0,48253.0,0.0,24.16397946315979,0.8042166666666667
自然景观,其他旅游,166,0,34575.5,0.0,24.080808680753858,0.5762583333333333
旅游,自然景观,1279,0,997.0,0.0,24.035306842002555,0.016616666666666665
自然景观,水上项目/水上体验,68,0,50301.5,0.0,24.011345719168645,0.8383583333333333
公园,人文古迹,81,0,46413.0,0.0,23.909779184153784,0.77355
植物园,自然景观,43,0,72450.0,0.0,23.86170746104521,1.2075
旅游,人文古迹,879,0,1071.0,0.0,23.770573697994845,0.01785
旅游,影视基地,64,0,926.0,0.0,23.70651358202827,0.015433333333333334
其他旅游,自然景观,162,0,38783.5,0.0,23.603737872305512,0.6463916666666667
地标建筑,人文古迹,28,0,47511.5,0.0,23.398510935645312,0.7918583333333333
自然景观,公园,125,0,45253.0,0.0,23.368901686548746,0.7542166666666666
展览馆,其他旅游,86,0,42256.5,0.0,23.34033201383391,0.704275
其他旅游,展览馆,94,0,59869.0,0.0,23.262496782473285,0.9978166666666667
动物园类,公园,78,0,68938.5,0.0,23.248945234852997,1.148975
展览馆,植物园,20,0,66504.0,0.0,23.248755777484316,1.1084
旅游,植物园,156,0,1048.5,0.0,23.21613476311008,0.017475
展览馆,动物园类,92,0,45643.0,0.0,23.06868077761768,0.7607166666666667
酒店,非标住宿,1306,0,21722.5,0.0,22.79437605296436,0.36204166666666665
动物园类,旅游,441,0,18762.0,0.0,22.72760578005048,0.3127
植物园,人文古迹,28,0,95494.5,0.0,22.623725805325932,1.591575
旅游,公园,489,0,982.0,0.0,22.58431175566007,0.016366666666666668
其他旅游,公园,62,0,68603.5,0.0,22.392614679749958,1.1433916666666666
动物园类,度假景区,37,0,46649.0,0.0,22.321475544085168,0.7774833333333333
养车/用车,生活服务,249,0,20593.0,0.0,21.996105010568062,0.34321666666666667
旅游,水上项目/水上体验,253,0,905.0,0.0,21.965654614783375,0.015083333333333334
旅游,展览馆,687,0,1044.0,0.0,21.8457863314213,0.0174
主题乐园,植物园,38,0,97782.0,0.0,21.372570108349265,1.6297
其他旅游,旅游,341,0,21432.0,0.0,21.23956504970523,0.3572
影视基地,主题乐园,21,0,46752.0,0.0,21.15128676536467,0.7792
展览馆,公园,60,0,55836.0,0.0,21.04896626978172,0.9306
主题乐园,其他旅游,157,0,52107.0,0.0,20.982468828701727,0.86845
地标建筑,旅游,86,0,17089.5,0.0,20.92755629852445,0.284825
人文古迹,其他旅游,95,0,62085.0,0.0,20.80027675792095,1.03475
地标建筑,动物园类,20,0,139360.0,0.0,20.78271009075035,2.3226666666666667
影视基地,自然景观,20,0,46712.0,0.0,20.781509024711443,0.7785333333333333
主题乐园,人文街区,22,0,133904.0,0.0,20.752258047157074,2.231733333333333
其他旅游,水上项目/水上体验,30,0,37350.0,0.0,20.6740520410979,0.6225
自然景观,游玩,23,0,35194.0,0.0,20.6281045751634,0.5865666666666667
度假景区,旅游,145,0,24198.0,0.0,20.55106949804654,0.4033
主题乐园,度假景区,59,0,59007.0,0.0,20.45629840878893,0.98345
动物园类,其他旅游,87,0,62622.0,0.0,20.13472373452359,1.0437
植物园,动物园类,20,0,52128.0,0.0,20.094540882447358,0.8688
水上项目/水上体验,自然景观,57,0,46220.0,0.0,20.040356151115645,0.7703333333333333
结婚,生活服务,396,0,33317.5,0.0,19.97007084327242,0.5552916666666666
自然景观,旅游,612,0,18728.0,0.0,19.86476748842319,0.3121333333333333
公园,其他旅游,50,0,40380.5,0.0,19.727521147745843,0.6730083333333333
度假景区,其他旅游,30,0,60524.0,0.0,19.416674514076696,1.0087333333333333
展览馆,旅游,321,0,18196.0,0.0,19.41386762776837,0.3032666666666667
水上项目/水上体验,旅游,130,0,23347.0,0.0,19.41221406302821,0.38911666666666667
自然景观,度假景区,51,0,50224.0,0.0,19.250155416104626,0.8370666666666666
其他旅游,动物园类,74,0,41486.5,0.0,19.16303949254485,0.6914416666666666
度假景区,主题乐园,59,0,51175.0,0.0,19.13210763163337,0.8529166666666667
人文古迹,旅游,390,0,22992.0,0.0,19.038952630252663,0.3832
植物园,主题乐园,35,0,74565.0,0.0,18.967394122221958,1.24275
度假景区,公园,22,0,100478.5,0.0,18.529092650836137,1.6746416666666666
公园,旅游,212,0,22087.0,0.0,18.516135932955315,0.36811666666666665
公园,展览馆,53,0,94206.0,0.0,18.50877707781102,1.5701
度假景区,人文古迹,38,0,53625.5,0.0,18.413533448630282,0.8937583333333333
度假景区,自然景观,55,0,46332.0,0.0,18.379905109364028,0.7722
动物园类,水上项目/水上体验,32,0,96968.0,0.0,18.221736275678857,1.6161333333333334
主题乐园,地标建筑,31,0,50403.0,0.0,18.177335374542896,0.84005
其他旅游,主题乐园,127,0,50241.0,0.0,18.007750937926417,0.83735
主题乐园,公园,102,0,50714.0,0.0,17.59340436491488,0.8452333333333333
主题乐园,滑雪景区,141,0,29517.0,0.0,17.373337848361196,0.49195
水上项目/水上体验,动物园类,27,0,59356.0,0.0,17.070467922641637,0.9892666666666666
温泉景区,水上项目/水上体验,40,0,70855.5,0.0,16.99645360206634,1.180925
主题乐园,展览馆,141,0,50433.0,0.0,16.709731344173964,0.84055
公园,主题乐园,83,0,38796.0,0.0,16.541696029033506,0.6466
生活服务,结婚,384,0,26014.5,0.0,16.536712448374494,0.433575
主题乐园,人文古迹,159,0,43897.0,0.0,16.0169143669128,0.7316166666666667
植物园,旅游,67,0,28546.0,0.0,15.815542279953624,0.47576666666666667
人文古迹,度假景区,27,0,62146.0,0.0,15.575149076168373,1.0357666666666667
自然景观,展览馆,120,0,37774.5,0.0,15.460430751791424,0.629575
公园,动物园类,42,0,51525.0,0.0,15.378813525427946,0.85875
人文古迹,动物园类,75,0,48791.0,0.0,15.225217540114938,0.8131833333333334
生活服务,家居,67,0,56287.0,0.0,15.183029405155267,0.9381166666666667
水上项目/水上体验,温泉景区,38,0,83078.0,0.0,15.111404393115679,1.3846333333333334
家居,生活服务,67,0,79898.0,0.0,14.945504000131084,1.3316333333333332
温泉景区,度假景区,32,0,40280.0,0.0,14.552978328000334,0.6713333333333333
展览馆,自然景观,102,0,45097.5,0.0,14.479950688319787,0.751625
主题乐园,水上项目/水上体验,44,0,87548.5,0.0,14.421977955024811,1.4591416666666666
动物园类,人文古迹,82,0,76965.5,0.0,14.31530042500883,1.2827583333333332
结婚,家居,31,0,129185.0,0.0,14.19924211974905,2.1530833333333335
家居,结婚,37,0,119035.0,0.0,14.172623866645965,1.9839166666666668
动物园类,自然景观,117,0,39338.0,0.0,14.147740700815373,0.6556333333333333
滑雪景区,主题乐园,107,0,53045.0,0.0,13.847267586408618,0.8840833333333333
游玩,旅游,48,0,47253.0,0.0,13.657702769535113,0.78755
滑雪景区,自然景观,102,0,44662.0,0.0,13.593184973321959,0.7443666666666666
影视基地,旅游,31,0,18849.0,0.0,13.581073448860122,0.31415
水上项目/水上体验,人文古迹,26,0,85043.0,0.0,13.42018479678653,1.4173833333333334
度假景区,展览馆,23,0,84668.0,0.0,13.320055113668493,1.4111333333333334
度假景区,动物园类,22,0,110490.0,0.0,13.31965654828508,1.8415
自然景观,动物园类,98,0,45347.0,0.0,13.199024184179956,0.7557833333333334
水上项目/水上体验,展览馆,21,0,137496.0,0.0,12.854040527237405,2.2916
家居,教育培训,38,0,260071.5,0.0,12.767727206163508,4.334525
旅游,游玩,58,0,84366.0,0.0,12.602105706514816,1.4061
主题乐园,自然景观,180,0,56905.5,0.0,12.595637573011697,0.948425
服饰鞋帽,美妆日化,364,0,38268.5,0.0,12.529018730830062,0.6378083333333333
展览馆,主题乐园,90,0,49060.0,0.0,12.428753582901857,0.8176666666666667
滑雪景区,公园,37,0,87128.0,0.0,12.309450823149454,1.4521333333333333
度假景区,温泉景区,32,0,44312.0,0.0,12.145963080885641,0.7385333333333334
人文古迹,主题乐园,109,0,47033.0,0.0,12.133580449455295,0.7838833333333334
人文古迹,水上项目/水上体验,22,0,79512.5,0.0,12.026479918266443,1.3252083333333333
自然景观,滑雪景区,88,0,39734.5,0.0,11.823335788698307,0.6622416666666666
教育培训,家居,31,0,211631.0,0.0,11.714573840802496,3.5271833333333333
自然景观,主题乐园,156,0,43956.5,0.0,11.525311097155349,0.7326083333333333
水上项目/水上体验,主题乐园,33,0,59041.0,0.0,11.413338188406884,0.9840166666666667
服饰鞋帽,日用百货,443,0,33172.0,0.0,11.403038494412176,0.5528666666666666
结婚,丽人,695,0,32306.0,0.0,11.23329130660354,0.5384333333333333
美妆日化,服饰鞋帽,386,0,39110.5,0.0,11.158315901061842,0.6518416666666667
主题乐园,亲子,230,0,39842.5,0.0,10.943892923311013,0.6640416666666666
温泉景区,酒店,832,0,20014.5,0.0,10.803850290435985,0.333575
温泉景区,非标住宿,53,0,52682.0,0.0,10.710944587595518,0.8780333333333333
滑雪景区,教育培训,78,0,35774.0,0.0,10.524359529946759,0.5962333333333333
日用百货,服饰鞋帽,436,0,34406.0,0.0,10.278447389247354,0.5734333333333334
温泉景区,自然景观,111,0,51369.0,0.0,10.081420884388733,0.85615
滑雪景区,其他旅游,39,0,58751.0,0.0,10.073999202021545,0.9791833333333333
公园,滑雪景区,27,0,87839.0,0.0,9.978282470465293,1.4639833333333334
购物,电影演出赛事,299,0,15590.0,0.0,9.946488963650001,0.25983333333333336
家居,医疗健康,21,0,194072.0,0.0,9.685313166675783,3.2345333333333333
母婴玩具,日用百货,351,0,28883.0,0.0,9.675764958161741,0.48138333333333333
其他旅游,滑雪景区,37,0,42371.0,0.0,9.674535334506958,0.7061833333333334
丽人,结婚,657,0,32676.0,0.0,9.663324478604263,0.5446
动物园类,亲子,117,0,69285.0,0.0,9.631753644196001,1.15475
亲子,母婴玩具,130,0,23569.5,0.0,9.605359027550232,0.392825
动物园类,滑雪景区,44,0,45181.0,0.0,9.48573391095268,0.7530166666666667
日用百货,母婴玩具,330,0,31363.5,0.0,9.420100124974546,0.522725
滑雪景区,人文古迹,47,0,57801.0,0.0,9.11260466459209,0.96335
结婚,教育培训,120,0,120749.5,0.0,9.066127129432518,2.0124916666666666
非标住宿,温泉景区,52,0,94357.5,0.0,8.853178045121957,1.572625
结婚,养车/用车,51,0,52140.0,0.0,8.764619991430125,0.869
日用百货,美妆日化,1433,0,29928.0,0.0,8.723169066764152,0.4988
医疗健康,家居,20,0,337752.0,0.0,8.717712297034023,5.6292
滑雪景区,展览馆,38,0,180075.5,0.0,8.703384117885527,3.0012583333333334
美妆日化,日用百货,1545,0,32407.0,0.0,8.625606890950273,0.5401166666666667
亲子,主题乐园,214,0,42697.0,0.0,8.549244730141973,0.7116166666666667
教育培训,亲子,201,0,46756.0,0.0,8.421371479384048,0.7792666666666667
亲子,教育培训,202,0,41580.0,0.0,8.38713402051059,0.693
滑雪景区,动物园类,35,0,47878.0,0.0,8.38294188534468,0.7979666666666667
教育培训,结婚,117,0,93714.0,0.0,8.309931578095592,1.5619
丽人,医疗健康,475,0,54762.0,0.0,8.251481761493974,0.9127
亲子,滑雪景区,113,0,66850.0,0.0,8.203348341867327,1.1141666666666667
滑雪景区,亲子,90,0,35399.5,0.0,8.17605244878671,0.5899916666666667
其他,购物,33,0,18795.0,0.0,8.15814192694358,0.31325
温泉景区,滑雪景区,50,0,50806.0,0.0,8.07099799872284,0.8467666666666667
服饰鞋帽,母婴玩具,49,0,41391.0,0.0,8.029649437559227,0.68985
医疗健康,医药健康,453,0,31852.0,0.0,7.980693377453154,0.5308666666666667
教育培训,滑雪景区,73,0,36455.0,0.0,7.9670628084563315,0.6075833333333334
滑雪景区,温泉景区,52,0,63511.5,0.0,7.843730266407407,1.058525
医疗健康,丽人,513,0,82920.0,0.0,7.76120137468209,1.382
展览馆,电影演出赛事,21,0,24392.0,0.0,7.738311495327919,0.40653333333333336
自然景观,温泉景区,90,0,42961.5,0.0,7.710825032888555,0.716025
滑雪景区,运动健身,132,0,58315.0,0.0,7.624177664439868,0.9719166666666667
温泉景区,其他旅游,43,0,73257.0,0.0,7.55812932711163,1.22095
温泉景区,公园,33,0,81540.0,0.0,7.511967834309137,1.359
电影演出赛事,展览馆,27,0,67156.0,0.0,7.4922628843871255,1.1192666666666666
日用百货,数码家电,578,0,29592.0,0.0,7.492013842388614,0.4932
人文古迹,滑雪景区,36,0,46819.5,0.0,7.38575718586359,0.780325
母婴玩具,亲子,112,0,21545.0,0.0,7.38106415761027,0.3590833333333333
酒店,温泉景区,825,0,18193.0,0.0,7.331024288699875,0.3032166666666667
数码家电,日用百货,540,0,29571.0,0.0,7.290287675837677,0.49285
母婴玩具,服饰鞋帽,50,0,32371.5,0.0,7.244698865931943,0.539525
亲子,动物园类,95,0,55838.0,0.0,6.932887420359196,0.9306333333333333
展览馆,滑雪景区,27,0,95457.0,0.0,6.92055985934417,1.59095
母婴玩具,美妆日化,185,0,30155.0,0.0,6.833483726393551,0.5025833333333334
旅游,人文街区,27,0,82035.0,0.0,6.817005975850955,1.36725
丽人,教育培训,523,0,40543.0,0.0,6.754827756875069,0.6757166666666666
亲子,旅游,380,0,30320.5,0.0,6.687815325929335,0.5053416666666667
自然景观,酒店,604,0,39509.5,0.0,6.5869123511473555,0.6584916666666667
亲子,结婚,138,0,33618.0,0.0,6.542594765904981,0.5603
教育培训,丽人,488,0,40234.0,0.0,6.511303973490655,0.6705666666666666
电影演出赛事,K歌,57,0,125559.0,0.0,6.502337311736289,2.09265
K歌,休闲娱乐,1660,0,35729.0,0.0,6.466278584739935,0.5954833333333334
亲子,公园,63,0,109711.0,0.0,6.429600887679109,1.8285166666666666
公园,亲子,45,0,41392.0,0.0,6.347760446244126,0.6898666666666666
温泉景区,人文古迹,48,0,41782.0,0.0,6.344787682618627,0.6963666666666667
其他旅游,温泉景区,38,0,68538.0,0.0,6.333161522844237,1.1423
运动健身,滑雪景区,142,0,42576.5,0.0,6.294114238587161,0.7096083333333333
电影演出赛事,购物,163,0,50542.0,0.0,6.27335380912456,0.8423666666666667
丽人,休闲娱乐,4958,0,32402.0,0.0,6.190524179912074,0.5400333333333334
数码家电,家居,21,0,48315.0,0.0,6.186044390965844,0.80525
休闲娱乐,丽人,5014,0,31333.0,0.0,6.137965412119542,0.5222166666666667
养车/用车,结婚,40,0,60836.0,0.0,6.121454766858684,1.0139333333333334
结婚,亲子,119,0,40561.0,0.0,6.063890805503802,0.6760166666666667
度假景区,酒店,126,0,32286.0,0.0,6.00604789804803,0.5381
教育培训,养车/用车,42,0,95295.5,0.0,5.979426510180873,1.5882583333333333
购物,其他,21,0,50855.0,0.0,5.944230914818661,0.8475833333333334
K歌,电影演出赛事,58,0,86841.0,0.0,5.878892960832988,1.44735
休闲娱乐,K歌,1465,0,33244.0,0.0,5.846118409215423,0.5540666666666667
医疗健康,休闲娱乐,849,0,36460.0,0.0,5.769972388490562,0.6076666666666667
医药健康,医疗健康,342,0,33027.5,0.0,5.712734219935321,0.5504583333333334
休闲娱乐,医疗健康,744,0,32323.0,0.0,5.692334645765725,0.5387166666666666
生活服务,购物,625,0,23883.0,0.0,5.651985241357586,0.39805
人文古迹,酒店,344,0,33955.5,0.0,5.644024486624866,0.565925
温泉景区,主题乐园,63,0,49191.0,0.0,5.596803053254955,0.81985
运动健身,丽人,1025,0,33286.0,0.0,5.585197494217129,0.5547666666666666
电影演出赛事,休闲娱乐,356,0,78613.5,0.0,5.522281689726662,1.310225
动物园类,温泉景区,40,0,77563.5,0.0,5.51253956856647,1.292725
K歌,运动健身,317,0,84992.0,0.0,5.500907695023371,1.4165333333333334
人文古迹,温泉景区,42,0,41100.5,0.0,5.474837032226526,0.6850083333333333
